15_9_2021-17-26.23.889077: [STARTUP] Bot is running!
17:28:54.743780: [CMD] mariyt#0420: '!say cock', Guild: William Shakespeare Official Fanclub, Channel: memes
17:33:47.287490: [CMD] eggy#6498: '!say @everyone', Guild: William Shakespeare Official Fanclub, Channel: memes
17:33:50.728937: [CMD] eggy#6498: '!say e', Guild: William Shakespeare Official Fanclub, Channel: memes
17:40:37.227354: [CMD] mariyt#0420: '!data <@775011827410927636>', Guild: William Shakespeare Official Fanclub, Channel: memes
17:40:44.705460: [CMD] mariyt#0420: '!say x', Guild: William Shakespeare Official Fanclub, Channel: memes
17:40:50.071889: [CMD] eggy#6498: '!say e', Guild: William Shakespeare Official Fanclub, Channel: memes
17:59:57.630818: [CMD] Apophis#6173: '!tts pornhub', Guild: William Shakespeare Official Fanclub, Channel: memes
18:00:47.474575: [CMD] Apophis#6173: '!tts fuiewwwwwwwwwwwwwwwwwwwwwwwwwwwwwpguuuuiuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck', Guild: William Shakespeare Official Fanclub, Channel: memes
18:02:14.674797: [CMD] Apophis#6173: '!tts 🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎🔎', Guild: William Shakespeare Official Fanclub, Channel: memes
18:11:55.433504: [CMD] DMCPACKS#9619: '!say @everyone', Guild: William Shakespeare Official Fanclub, Channel: memes
18:12:05.232177: [CMD] DMCPACKS#9619: '!tts @everyone', Guild: William Shakespeare Official Fanclub, Channel: memes
18:17:59.517361: [CMD] huub#8375: '!alt', Guild: William Shakespeare Official Fanclub, Channel: memes
